"shapeid","x","y","field_1","field_2","field_3"
"0","77.58934","12.91722","12.91722","77.58934","Jayanagara_9th_Block"
"1","77.5935297377275","12.9229745645214","12.9229745645214","77.5935297377275","Jayanagara_T_Block"
"2","77.5896605566286","12.9241147077254","12.9241147077254","77.5896605566286","Jayanagara_18th_Main"
"3","77.48638724","12.92805897","12.92805897","77.48638724","Church"
"4","77.58420959115","12.9284826437007","12.9284826437007","77.58420959115","Jayanagara_4th_Block"
"5","77.5839063618","12.9317783285","12.9317783285","77.5839063618","Jayanagara_3rd_Block"
"6","77.5839236286","12.9361068271","12.9361068271","77.5839236286","Madavan_Park"
"7","77.58038","12.9368","12.9368","77.58038","Southend_Circle"
"8","77.5722011179","12.9369383119","12.9369383119","77.5722011179","Nagasandra_Circle"
"9","77.5718727987","12.9392398149","12.9392398149","77.5718727987","Netakallappa_Circle"
"10","77.57391823","12.94159052","12.94159052","77.57391823","Basavanagudi_Police_Station"
"11","77.5707005896","12.9457424115","12.9457424115","77.5707005896","Gandhi_Bazaar"
"12","77.567561017579","12.94914747783","12.94914747783","77.567561017579","Ramakrishna_Ashrama"
"13","77.5674634986","12.9518947285","12.9518947285","77.5674634986","Bangalore_High_School"
"14","77.5682954863","12.957194522","12.957194522","77.5682954863","Chamarajapet"
"15","77.57402561","12.95850855","12.95850855","77.57402561","Makkalakoota"
"16","77.577499","12.964049","12.964049","77.577499","Krishnarajendra_Market"
"17","77.56816037","12.965343995","12.965343995","77.56816037","Veterinary_Hospital"
"18","77.5680068206731","12.9681187418378","12.9681187418378","77.5680068206731","Goodshed_Road_Gate"
"19","77.57074","12.97736","12.97736","77.57074","Majestic"
"20","77.5764328893","12.9829853028","12.9829853028","77.5764328893","Ananda_Rao_Circle"
"21","77.5717054121","12.9896777496","12.9896777496","77.5717054121","Central"
"22","77.5713099939793","12.9978901319732","12.9978901319732","77.5713099939793","Malleshwaram_Circle"
"23","77.57128","12.99966","12.99966","77.57128","Malleshwaram_8th_Cross"
"24","77.5711547211","13.005030714","13.005030714","77.5711547211","Malleshwaram_15th_Cross"
"25","77.5713957566038","13.0090630066788","13.0090630066788","77.5713957566038","Malleshwaram_18th_Cross"
"26","77.56652334","13.01429778","13.01429778","77.56652334","Tata_Institute"
"27","77.55707759428026","13.017420746122461","13.017420746122461","77.55707759428026","Yeshawanthapura_TTMC"
"28","77.55338","13.01868","13.01868","77.55338","Govardhan_Talkies"
"29","77.55029","13.02311","13.02311","77.55029","Yeshwanathapura_new_railway_station"
"30","77.57330227661134","12.916723711209434","12.916723711209434","77.57330227661134","Banashankari_Bus_Station"
"31","77.57298349","12.91011837","12.91011837","77.57298349","Sarakki"
"32","77.57347506","12.90132489","12.90132489","77.57347506","Jaraganahalli_Cross"
"33","77.5715878","12.89747621","12.89747621","77.5715878","Yelachenahalli"
"34","77.56912545","12.89464043","12.89464043","77.56912545","Metro_konanakunte"
"35","77.5637285702438","12.8905069515158","12.8905069515158","77.5637285702438","Konanakunte_Cross"
"36","77.5669875116586","12.8854219631679","12.8854219631679","77.5669875116586","Konanakunte"
"37","77.5660161797493","12.8826229342917","12.8826229342917","77.5660161797493","Sowdamini_Kalyana_Mantapa"
"38","77.5669182237677","12.8782367450646","12.8782367450646","77.5669182237677","Kothnuru_Cross"
"39","77.566862","12.876435","12.876435","77.566862","Glass_Factory"
"40","77.7358519222985","13.0360478827048","13.0360478827048","77.7358519222985","Avalahalli"
"41","77.5606457332353","12.8724909532831","12.8724909532831","77.5606457332353","Avalahalli_BDA_Layout"
"42","77.572342","12.978062","12.978062","77.572342","Kempegowda_Bus_Station"
"43","77.578163","12.974256","12.974256","77.578163","Jn_Of_KG_Road"
"44","77.575321","12.961668","12.961668","77.575321","Victoria_Hospitial"
"45","77.5521097812413","12.896358215994","12.896358215994","77.5521097812413","Vasanthapura"
"46","77.5485178576245","12.8961664673146","12.8961664673146","77.5485178576245","Yadalam_Nagara"
"47","77.5462201163579","12.8976035001522","12.8976035001522","77.5462201163579","Subramanyapura_Co_operative_Society"
"48","77.5437220869559","12.8990713078011","12.8990713078011","77.5437220869559","Subramanyapura_Police_station"
"49","77.6514016970033","13.1655411423523","13.1655411423523","77.6514016970033","Uttarahalli"
"50","77.5459173927738","12.9069658550541","12.9069658550541","77.5459173927738","Uttarahalli_KR_Hospital"
"51","77.5492530819738","12.9092132341356","12.9092132341356","77.5492530819738","Chikkalsandra_Canara_Bank_Colony"
"52","77.5525682756659","12.911746062612","12.911746062612","77.5525682756659","Chikkalsandra_Aralimara"
"53","77.5555543528847","12.91153153402","12.91153153402","77.5555543528847","Gowdana_palya"
